Departamento,Provincia,Municipio,Localidad
Chuquisaca,Oropeza,Sucre,Arabate
Chuquisaca,Oropeza,Sucre,Chaunaca
Chuquisaca,Oropeza,Sucre,Chuqui Chuqui
Chuquisaca,Oropeza,Sucre,Surima
Chuquisaca,Oropeza,Sucre,Imilla Hua�usca
Chuquisaca,Oropeza,Sucre,Punilla
Chuquisaca,Oropeza,Sucre,Mojotoro
Chuquisaca,Oropeza,Sucre,Ckacha Ckacha
Chuquisaca,Oropeza,Sucre,El Chaco
Chuquisaca,Oropeza,Sucre,Potolo
Chuquisaca,Oropeza,Sucre,Quila Quila
Chuquisaca,Oropeza,Sucre,Maragua
Chuquisaca,Oropeza,Sucre,La Palca
Chuquisaca,Oropeza,Sucre,Sucre
Tarija,Cercado,Tarija,Tarija
Chuquisaca,Nor Cinti,San Lucas,Malliri
Chuquisaca,Nor Cinti,San Lucas,Kollpa
Chuquisaca,Nor Cinti,San Lucas,Canchas Blancas
Chuquisaca,Nor Cinti,San Lucas,Payacota del Carmen
Chuquisaca,Nor Cinti,San Lucas,Tambillos
Chuquisaca,Nor Cinti,San Lucas,Pirhuani
Chuquisaca,Nor Cinti,San Lucas,Uruchini
Chuquisaca,Nor Cinti,San Lucas,Torojchi
Chuquisaca,Nor Cinti,San Lucas,Ocuri
Chuquisaca,Nor Cinti,San Lucas,Palacio Tambo
Chuquisaca,Nor Cinti,San Lucas,Laja Ckasa
Chuquisaca,Nor Cinti,San Lucas,Pasla
Chuquisaca,Nor Cinti,San Lucas,Hua�o Imilla
Chuquisaca,Nor Cinti,San Lucas,Chillagua
Chuquisaca,Nor Cinti,San Lucas,Molle Pata
Chuquisaca,Nor Cinti,San Lucas,Saca Villque Chico
Chuquisaca,Nor Cinti,San Lucas,Huayllani
Chuquisaca,Nor Cinti,San Lucas,Tambo Ckasa
Chuquisaca,Nor Cinti,San Lucas,Japo
Chuquisaca,Nor Cinti,San Lucas,Buena Vista
Chuquisaca,Nor Cinti,San Lucas,Torre de Linares
Chuquisaca,Nor Cinti,San Lucas,Cinte�o Tambo
Chuquisaca,Nor Cinti,San Lucas,Murifaya
Chuquisaca,Nor Cinti,San Lucas,Civita
Chuquisaca,Nor Cinti,San Lucas,San Pedro de Huanaya
Chuquisaca,Nor Cinti,San Lucas,Cruz Mayu
Chuquisaca,Nor Cinti,San Lucas,El Terrado
Chuquisaca,Nor Cinti,Incahuasi,Incahuasi
Chuquisaca,Nor Cinti,Incahuasi,San Lorencito
Chuquisaca,Nor Cinti,Incahuasi,Huajlaya
Chuquisaca,Nor Cinti,Incahuasi,Lampazar
Chuquisaca,Nor Cinti,Incahuasi,El Portillo
Chuquisaca,Nor Cinti,Incahuasi,Jolencia
Chuquisaca,Nor Cinti,Incahuasi,El Verano
Chuquisaca,Nor Cinti,Incahuasi,Yatina
Chuquisaca,Nor Cinti,Incahuasi,El Quemado
Chuquisaca,Nor Cinti,Villa Charcas,Villa Charcas
Chuquisaca,Nor Cinti,Villa Charcas,Chunchuli
Chuquisaca,Nor Cinti,Villa Charcas,Santa Elena
Chuquisaca,Nor Cinti,Villa Charcas,Caysaca
Chuquisaca,Nor Cinti,Villa Charcas,Supas
Chuquisaca,Nor Cinti,Villa Charcas,La Bombona
